waypoint_id,row,col,cost,roughness,slope,shadow_risk,hazard_clearance,hard_hazard
305,6.000,766.000,2.985025,0.043590,0.016298,0.397358,47.254,0
306,6.000,771.000,3.254955,0.053735,0.031076,0.385430,43.840,0
307,6.000,776.000,3.338247,0.056515,0.033393,0.341470,41.012,0
308,6.000,781.000,2.929680,0.005792,0.024575,0.275403,38.769,0
309,6.000,786.000,3.287817,0.022642,0.022919,0.312640,36.355,0
310,6.000,791.000,3.799209,0.067162,0.020373,0.335676,34.284,0
311,6.000,796.000,3.718192,0.037283,0.007166,0.341423,32.213,0
312,6.000,801.000,4.077631,0.056869,0.004215,0.356617,30.142,0
313,6.000,806.000,4.267671,0.048746,0.009748,0.352408,28.071,0
314,6.000,811.000,4.529617,0.039419,0.012748,0.377805,26.000,0
315,6.000,816.000,4.867143,0.064784,0.016327,0.316383,24.000,0
316,6.000,821.000,4.762691,0.034879,0.020639,0.273680,22.828,0
317,6.000,826.000,5.002590,0.037922,0.026464,0.286750,21.828,0
318,6.000,831.000,5.201656,0.060064,0.031118,0.232540,21.000,0
319,6.000,836.000,5.007984,0.035760,0.030563,0.223098,21.000,0
320,6.000,841.000,5.050975,0.049237,0.024452,0.213647,21.000,0
321,6.000,846.000,5.479777,0.056561,0.026644,0.213930,19.000,0
322,6.000,851.000,5.983821,0.056314,0.035696,0.277569,17.414,0
323,6.000,856.000,6.315494,0.050116,0.035630,0.307006,16.000,0
324,6.000,861.000,6.608673,0.054017,0.026550,0.341738,15.000,0
325,6.000,866.000,6.397514,0.016368,0.013813,0.394498,15.000,0
326,6.000,871.000,6.575985,0.042820,0.004901,0.392788,14.828,0
327,6.000,876.000,6.700718,0.072129,0.007915,0.368300,15.000,0
328,6.000,881.000,6.692448,0.059094,0.010327,0.400534,15.000,0
329,6.000,886.000,6.372875,0.035309,0.010492,0.375516,15.414,0
330,6.000,891.000,6.236151,0.050688,0.012207,0.364864,16.414,0
331,6.000,896.000,5.757885,0.016978,0.018565,0.378263,17.828,0
332,6.000,901.000,5.668229,0.039569,0.021761,0.400735,19.414,0
333,6.000,906.000,5.385061,0.054634,0.015983,0.399780,21.414,0
334,6.000,911.000,5.050038,0.049146,0.009571,0.429869,23.485,0
335,6.000,916.000,4.742322,0.043274,0.011101,0.433045,25.456,0
336,6.000,921.000,5.125788,0.048366,0.015293,0.434994,23.213,0
337,6.000,926.000,5.426552,0.054036,0.016024,0.372337,20.799,0
338,6.000,931.000,5.827414,0.054315,0.013404,0.369697,18.556,0
339,6.000,936.000,6.441909,0.042958,0.011502,0.369441,15.314,0
340,6.000,941.000,7.650701,0.032837,0.010260,0.356638,10.485,0
341,6.000,946.000,9.145991,0.048730,0.009819,0.385097,6.657,0
342,6.000,951.000,10.778745,0.051176,0.013432,0.367022,2.828,0
343,6.000,956.000,11.545965,0.043086,0.020237,0.310719,1.000,0
344,3.500,958.500,10.790524,0.022952,0.018842,0.266936,2.000,0
345,1.000,961.000,16.772485,0.891287,0.016184,0.853593,5.000,0
346,3.500,963.500,10.645091,0.019671,0.013752,0.222836,2.000,0
347,6.000,966.000,11.366370,0.043220,0.009194,0.253757,1.000,0
348,6.000,971.000,10.639719,0.037776,0.001966,0.282104,2.414,0
349,6.000,976.000,9.410810,0.064943,0.006175,0.282768,5.657,0
350,6.000,981.000,8.197586,0.077546,0.006928,0.252190,9.000,0
351,6.000,986.000,7.812340,0.078935,0.005754,0.224314,10.000,0
352,6.000,991.000,7.189935,0.049101,0.002907,0.239857,11.414,0
353,6.000,996.000,6.773484,0.041413,0.006003,0.250152,12.828,0
354,6.000,1001.000,6.503820,0.049827,0.018476,0.260412,14.414,0
355,6.000,1006.000,6.140353,0.050163,0.027620,0.295148,16.485,0
356,6.000,1011.000,5.622246,0.035618,0.029790,0.298686,18.556,0
357,6.000,1016.000,5.461115,0.058390,0.024700,0.354478,20.799,0
358,6.000,1021.000,5.016109,0.041889,0.015015,0.406380,23.213,0
359,6.000,1026.000,4.560915,0.030883,0.006468,0.400543,25.456,0
360,6.000,1031.000,4.263697,0.038311,0.003198,0.387947,27.870,0
361,6.000,1036.000,4.063409,0.047597,0.004801,0.404241,30.698,0
362,6.000,1041.000,3.800265,0.045818,0.009138,0.400523,33.527,0
363,8.500,1043.500,3.638064,0.008762,0.008277,0.446659,33.527,0
364,11.000,1046.000,3.668525,0.002777,0.007227,0.441613,32.527,0
365,13.500,1048.500,3.889525,0.023271,0.012279,0.465378,32.527,0
366,16.000,1051.000,3.996573,0.024554,0.017362,0.498400,32.527,0
367,18.500,1053.500,3.977425,0.042603,0.020581,0.448843,33.112,0
368,21.000,1056.000,3.867948,0.018350,0.017288,0.449720,32.284,0
369,23.500,1058.500,4.048006,0.039297,0.015328,0.444355,31.698,0
370,26.000,1061.000,3.744620,0.011304,0.018037,0.438593,32.870,0
371,28.500,1063.500,3.683861,0.012274,0.021153,0.468897,34.627,0
372,31.000,1066.000,3.608350,0.012399,0.017499,0.484319,35.799,0
373,36.000,1066.000,3.870331,0.024623,0.012471,0.508288,33.941,0
374,41.000,1066.000,4.006080,0.023115,0.011770,0.484871,31.698,0
375,46.000,1066.000,4.101125,0.001429,0.021304,0.471749,29.456,0
376,51.000,1066.000,4.356327,0.014986,0.028320,0.420770,27.385,0
377,56.000,1066.000,4.591059,0.016650,0.027903,0.402063,25.314,0
378,61.000,1066.000,4.789126,0.015989,0.022793,0.369995,23.243,0
379,63.500,1063.500,5.334700,0.022670,0.015853,0.365825,20.000,0
380,66.000,1061.000,6.032919,0.023065,0.012379,0.359987,16.414,0
381,68.500,1058.500,6.610851,0.004862,0.009722,0.355441,13.414,0
382,71.000,1056.000,7.683333,0.023256,0.009134,0.335154,10.000,0
